,date&time,description,link,title
0,"Sat, 16 Sep 2017 08:59:08 GMT",Here's a $400 bn reason why China & Kim Jong won't bug India muchIndia now ranks eighth in foreign exchange reserves in a list that’s headed by China ($3.09 trillion) and Japan ($1.2 trillion).,http://economictimes.indiatimes.com/markets/forex/indias-forex-reserves-top-400-billion-for-first-time-ever/articleshow/60531270.cms,Here's a $400 bn reason why China & Kim Jong won't bug India much
1,"Sat, 16 Sep 2017 07:16:37 GMT","The important clue from Rahul Gandhi's US speech that Team Modi may have missedIt is now up to Rahul Gandhi to prove or disapprove Union Minister Smriti Irani's quip on his speech about being a ""failed dynast"".",http://economictimes.indiatimes.com/news/politics-and-nation/for-rahul-gandhi-proof-of-pudding-is-winning-elections/articleshow/60708339.cms,The important clue from Rahul Gandhi's US speech that Team Modi may have missed
2,"Sat, 16 Sep 2017 07:17:57 GMT","Do you know what's the best feature of iPhone X? It's that Rs 1.02 lakh price tagIndians would be buying the phone more for this feature than the others publicised widely, such as wireless charging.",http://economictimes.indiatimes.com/tech/hardware/do-you-know-the-best-feature-of-iphone-x-the-rs-1-02-lakh-price-tag/articleshow/60708226.cms,Do you know what's the best feature of iPhone X? It's that Rs 1.02 lakh price tag
3,"Sat, 16 Sep 2017 10:07:09 GMT","OIC has no locus standi to comment on Kashmir: IndiaIn its right of reply in response to the statement made by Pakistan on behalf of OIC, India said Jammu and Kashmir is its integral and inseparable part.",http://economictimes.indiatimes.com/news/politics-and-nation/oic-has-no-locus-standi-to-comment-on-kashmir-india/articleshow/60710151.cms,OIC has no locus standi to comment on Kashmir: India
4,"Sat, 16 Sep 2017 10:03:25 GMT","How India's strategy on the Rohingya issue evolvedWithin hours of Modi's return, it was clear his failure to address the issue of refugees in Myanmar would create problems both within India and in Bangladesh.",http://economictimes.indiatimes.com/news/politics-and-nation/how-indias-four-pronged-strategy-on-the-rohingya-problem-evolved/articleshow/60710121.cms,How India's strategy on the Rohingya issue evolved
5,"Fri, 15 Sep 2017 07:14:56 GMT",Indo-Pak talks on Indus water dispute fails: WBTwo days of talks here between India and Pakistan has failed to break the deadlock on the design of two hydro-electric power plants in Jammu and Kashmir.,http://economictimes.indiatimes.com/news/politics-and-nation/india-pakistan-hold-talks-on-indus-waters-treaty/articleshow/60526137.cms,Indo-Pak talks on Indus water dispute fails: WB
6,"Sat, 16 Sep 2017 07:24:41 GMT",Gorkhaland demand: Road to nowhere? The inordinate extension of the bandh is causing all the leaders of the Gorkha Movement Coordination Committee to miss heart beats with alarming frequency.,http://economictimes.indiatimes.com/news/politics-and-nation/gorkhaland-demand-road-to-nowhere/articleshow/60708668.cms,Gorkhaland demand: Road to nowhere? 
7,"Sat, 16 Sep 2017 08:04:33 GMT","72% of parents don’t trust schools, finds studyAccording to a survey by the School Learners Network (SLN), a professional group of school leaders, 72% parents do not trust schools with safety of their children.",http://economictimes.indiatimes.com/industry/services/education/72-of-parents-dont-trust-schools-finds-study-after-gurugram-murder/articleshow/60709044.cms,"72% of parents don’t trust schools, finds study"
8,"Sat, 16 Sep 2017 09:16:27 GMT","India support on ending worst forms of violenceSyed Akbaruddin, India's Permanent Representative to the UN, said that the discussions on the concept required open, inclusive and transparent deliberation.",http://economictimes.indiatimes.com/news/politics-and-nation/india-favours-discussion-in-unga-on-ending-worst-forms-of-violence/articleshow/60709729.cms,India support on ending worst forms of violence
9,"Sat, 16 Sep 2017 07:25:34 GMT","Committee on Maratha reservation a 'timepass': SenaOn August 9, lakhs of members of the Maratha community, staged their 58th and final 'muk morcha' in Mumbai demanding reservation in jobs and educational institutions.",http://economictimes.indiatimes.com/news/politics-and-nation/cabinet-sub-committee-on-maratha-reservation-a-timepass-sena/articleshow/60708690.cms,Committee on Maratha reservation a 'timepass': Sena
10,"Sat, 16 Sep 2017 05:36:37 GMT","Actual wars are the reason for the bull market to flourish, but fear keeps the bulls away.",http://economictimes.indiatimes.com/markets/stocks/news/exhaustion-visible-in-key-sectors-time-to-join-the-insurance-party/articleshow/60707736.cms,Exhaustion visible in key sectors; time to join the insurance party
11,"Sat, 16 Sep 2017 04:59:43 GMT","The 10,150 and 10,265 levels should act as immediate resistance for Nifty50.",http://economictimes.indiatimes.com/markets/stocks/news/dalal-street-week-ahead-watch-out-midcaps-energy-bank-stocks/articleshow/60707488.cms,"Dalal Street week ahead: Watch out midcaps, energy, bank stocks"
12,"Sat, 16 Sep 2017 04:33:04 GMT","Bitcoin has dropped as much as 40% since reaching a record high of $4,921 on Sept. 1.",http://economictimes.indiatimes.com/markets/stocks/news/summer-of-bitcoin-ending-badly-as-china-clamps-down-on-trading/articleshow/60707271.cms,Summer of bitcoin ending badly as China clamps down on trading
13,"Sat, 16 Sep 2017 08:17:51 GMT","""We have been avoiding weak sectors like telecom, IT and pharma""",http://economictimes.indiatimes.com/markets/expert-view/it-is-a-quality-driven-market-cyclicals-lagging-behind-devang-mehta-bnp-paribas/articleshow/60709272.cms,"It is a quality driven market, cyclicals lagging behind"
14,"Sat, 16 Sep 2017 08:02:35 GMT","""I am bearish on BHEL. Yesterday, the stock came down after hitting those highs of Rs 145 which is never a positive sign.""",http://economictimes.indiatimes.com/markets/expert-view/next-week-nifty-to-head-for-10300-level-kunal-saraogi-equity-rush/articleshow/60709019.cms,"Nifty to head for 10,300 level: Equity Rush"
15,"Sat, 16 Sep 2017 09:17:01 GMT",Government on Saturday ruled out any further extension in filing of returns under GST after December and advised the taxpayers to file them in advance and not wait for the last day.,http://economictimes.indiatimes.com/news/economy/policy/no-further-extension-in-filing-returns-under-gst-hasmukh-adhia/articleshow/60709723.cms,No further extension in filing returns under GST: Hasmukh Adhia
16,"Sat, 16 Sep 2017 00:52:52 GMT",Lenders will need to file bankruptcy cases in respect of these accounts if they are unable to find any other way to revive the creditors by end-December.,http://economictimes.indiatimes.com/news/economy/policy/worried-finance-ministry-seeks-details-of-40-accounts-tagged-for-insolvency/articleshow/60704871.cms,Worried finance ministry seeks details of 40 accounts tagged for insolvency
17,"Fri, 15 Sep 2017 18:30:25 GMT",The Centre plans to counter the petition by saying Union ministries and state govts have spent funds on drought mitigation utilising central schemes made to states.,http://economictimes.indiatimes.com/news/economy/agriculture/agriculture-ministry-collects-details-of-flexi-funds-used-for-drought-relief/articleshow/60704607.cms,Agriculture ministry collects details of flexi funds used for drought relief
18,"Fri, 15 Sep 2017 18:21:24 GMT","To ensure only eligible credit is carried forward in the GST regime, the CBEC has asked field offices to match the credit claimed with closing balance in returns filed under the earlier law.",http://economictimes.indiatimes.com/news/economy/policy/gst-transitional-claims-of-over-rs-1-crore-to-be-scrutinised/articleshow/60704503.cms,GST transitional claims of over Rs 1 crore to be scrutinised
19,"Fri, 15 Sep 2017 18:20:18 GMT","These would be discussed at the upcoming meeting of the Transport Development Council, the highest body to advise the government of India on all matters relating to roads and transport.",http://economictimes.indiatimes.com/news/economy/policy/transport-council-to-discuss-reforms-on-september-19/articleshow/60704484.cms,Transport council to discuss reforms on September 19
20,"Sat, 16 Sep 2017 04:55:33 GMT","Japan has a historic connection to India's northeast, and is among the few countries that India has allowed a presence in the eight landlocked states.",http://economictimes.indiatimes.com/news/economy/infrastructure/japan-teams-up-with-india-for-northeast-to-extend-rs-2239-crore-loans/articleshow/60703906.cms,"Japan teams up with India for Northeast, to extend Rs 2,239-crore loans"
21,"Sat, 16 Sep 2017 07:17:57 GMT","Indians would be buying the phone more for this feature than the others publicised widely, such as wireless charging.",http://economictimes.indiatimes.com/tech/hardware/do-you-know-the-best-feature-of-iphone-x-the-rs-1-02-lakh-price-tag/articleshow/60708226.cms,Do you know the best feature of iPhone X? The Rs 1.02 lakh price tag
22,"Sat, 16 Sep 2017 01:05:48 GMT","Attacks are being carried out by using large set words like date of birth, email address and other details of the person online to figure out the email password.",http://economictimes.indiatimes.com/tech/internet/facebook-instagram-accounts-latest-hijack-victims-release-on-ransom/articleshow/60705030.cms,"Facebook, Instagram accounts latest hijack victims.Release on ransom!"
23,"Fri, 15 Sep 2017 15:24:51 GMT","The technical glitch left several users scrambling to access Google's services. However, it was not immediately clear if more users across the world experienced the same disruption.",http://economictimes.indiatimes.com/tech/internet/google-youtube-gmail-goes-offline-from-brief-minutes-in-india/articleshow/60701746.cms,"Google, YouTube, Gmail goes offline for brief minutes in India"
24,"Fri, 15 Sep 2017 13:13:42 GMT","""Our present market share as per GfK data is 20 per cent. We want to take it to 22 per cent in the current fiscal taking it to the number three spot"", Rajesh Thadani, head and ED of consumer and ecommerce said.",http://economictimes.indiatimes.com/tech/hardware/lenovo-aiming-for-22-per-cent-market-share-in-pc-sales/articleshow/60531641.cms,Lenovo aiming for 22 per cent market share in PC sales
25,"Fri, 15 Sep 2017 08:42:05 GMT","GE will now use Dell EMC servers, storage, backup and related professional services, aiming to enhance the reliability and efficiency of its IT infrastructure.",http://economictimes.indiatimes.com/tech/ites/dell-technologies-signs-multi-year-deal-with-ge/articleshow/60527449.cms,Dell Technologies signs multi-year deal with GE
26,"Fri, 15 Sep 2017 06:41:13 GMT","The financial details of the contract, which will see Wipro managing the data centre and cloud services for innogy SE, were not disclosed.",http://economictimes.indiatimes.com/tech/ites/wipro-gets-7-year-data-centre-services-deal-from-innogy/articleshow/60525606.cms,Wipro gets 7-year data centre services deal from innogy
27,"Sat, 16 Sep 2017 09:42:12 GMT","Following a proposal by the Aerospace Force of the Islamic Revolution Guards Corps (IRGC), Iran's Defence Industries manufactured the 10-tonne bombs.",http://economictimes.indiatimes.com/news/international/world-news/iran-possesses-non-nuclear-father-of-all-bombs/articleshow/60709943.cms,"Iran possesses non-nuclear ""father of all bombs"""
28,"Sat, 16 Sep 2017 09:37:06 GMT",Haley's remarks came as US President Donald Trump was set to deliver his first speech to the United Nations General Assembly next week.,http://economictimes.indiatimes.com/news/international/world-news/unsc-reform-a-priority-for-trump-administration-haley/articleshow/60709895.cms,UNSC reform a priority for Trump administration: Haley
29,"Sat, 16 Sep 2017 09:28:29 GMT",Tensions between the Rohingya Muslims and the Buddhist majority date back to the beginning of British rule in 1824.,http://economictimes.indiatimes.com/news/international/world-news/a-history-of-persecution-myanmars-rohingya-muslims/articleshow/60709839.cms,A history of persecution: Myanmar's Rohingya Muslims
30,"Sat, 16 Sep 2017 08:51:26 GMT","The Gupta scandals have piled pressure on Zuma and opened rifts in the African National Congress, the party that has ruled since the end of apartheid in 1994.",http://economictimes.indiatimes.com/news/international/business/kpmgs-south-africa-bosses-purged-over-gupta-scandal/articleshow/60709521.cms,KPMG's South Africa bosses purged over Gupta scandal
31,"Sat, 16 Sep 2017 05:52:02 GMT","The appeal was directed at the United States and Japan, countries calling to ramp up pressure through sanctions rather than pin hopes on talks.",http://economictimes.indiatimes.com/news/international/world-news/north-korea-seeks-equilibrium-with-us-says-nuclear-capability-nearly-complete/articleshow/60707860.cms,"North Korea seeks 'equilibrium' with US, says nuclear capability nearly complete"
32,"Sat, 16 Sep 2017 05:40:23 GMT",The police have found CCTV images that captured the perpetrator as he boarded the train with the bomb packed in a white plastic bucket inside a Lidl supermarket bag.,http://economictimes.indiatimes.com/news/international/world-news/uk-terror-threat-increased-to-critical-after-tube-bomb/articleshow/60707682.cms,UK terror threat increased to critical after Tube bomb
33,"Sat, 16 Sep 2017 10:07:09 GMT","In its right of reply in response to the statement made by Pakistan on behalf of OIC, India said Jammu and Kashmir is its integral and inseparable part.",http://economictimes.indiatimes.com/news/politics-and-nation/oic-has-no-locus-standi-to-comment-on-kashmir-india/articleshow/60710151.cms,OIC has no locus standi to comment on Kashmir: India
34,"Sat, 16 Sep 2017 10:03:25 GMT","Within hours of Modi's return, it was clear his failure to address the issue of refugees in Myanmar would create problems both within India and in Bangladesh.",http://economictimes.indiatimes.com/news/politics-and-nation/how-indias-four-pronged-strategy-on-the-rohingya-problem-evolved/articleshow/60710121.cms,How India's four-pronged strategy on the Rohingya problem evolved
35,"Sat, 16 Sep 2017 09:16:27 GMT","Syed Akbaruddin, India's Permanent Representative to the UN, said that the discussions on the concept required open, inclusive and transparent deliberation.",http://economictimes.indiatimes.com/news/politics-and-nation/india-favours-discussion-in-unga-on-ending-worst-forms-of-violence/articleshow/60709729.cms,India favours discussion in UNGA on ending worst forms of violence
36,"Sat, 16 Sep 2017 07:25:34 GMT","On August 9, lakhs of members of the Maratha community, staged their 58th and final 'muk morcha' in Mumbai demanding reservation in jobs and educational institutions.",http://economictimes.indiatimes.com/news/politics-and-nation/cabinet-sub-committee-on-maratha-reservation-a-timepass-sena/articleshow/60708690.cms,Cabinet sub-committee on Maratha reservation a 'timepass': Sena
37,"Sat, 16 Sep 2017 07:24:41 GMT",The inordinate extension of the bandh is causing all the leaders of the Gorkha Movement Coordination Committee to miss heart beats with alarming frequency.,http://economictimes.indiatimes.com/news/politics-and-nation/gorkhaland-demand-road-to-nowhere/articleshow/60708668.cms,Gorkhaland demand: Road to nowhere? 
38,"Sat, 16 Sep 2017 07:16:37 GMT","It is now up to Rahul Gandhi to prove or disapprove Union Minister Smriti Irani's quip on his speech about being a ""failed dynast"".",http://economictimes.indiatimes.com/news/politics-and-nation/for-rahul-gandhi-proof-of-pudding-is-winning-elections/articleshow/60708339.cms,"For Rahul Gandhi, proof of pudding is winning elections "
39,"Thu, 12 Aug 2010 20:55:54 GMT","A trading combination involving Nifty options is gaining prominence among savvy trading desks of institutional investors.

",http://economictimes.indiatimes.com/traders-bet-on-calendar-spread-as-nifty-moves-in-a-tight-range/articleshow/6302358.cms,Traders bet on calendar spread as Nifty moves in a tight range
40,"Wed, 11 Aug 2010 20:52:06 GMT","As far as stock futures are concerned, we are very near to the highest-ever open interest with 195 crore shares in open interest. ",http://economictimes.indiatimes.com/nifty-may-find-support-at-5300-level/articleshow/6296017.cms,Nifty may find support at 5300 level
41,"Thu, 12 Aug 2010 05:20:58 GMT","An analysis of 300 Asian small-cap schemes shows DSP BlackRock Micro Cap Fund leading the charge, delivering an 82% return over the past year.",http://economictimes.indiatimes.com/seven-out-of-top-10-asian-small-cap-funds-are-indian/articleshow/6295976.cms,Seven out of top 10 Asian small-cap funds are Indian
42,"Sun, 08 Aug 2010 14:02:56 GMT","India has inflation and it reflects the fundamental growth, Christopher Wood, equity strategist, CLSA, said at ET Now Mkt Summit-2010.

",http://economictimes.indiatimes.com/inflation-reflects-growth-dynamics-in-india-christopher-wood/articleshow/6274053.cms,Inflation reflects growth dynamics in India: Christopher Wood
43,"Sun, 08 Aug 2010 19:35:47 GMT",Market may see range-bound trading this week in the absence of any major trigger.,http://economictimes.indiatimes.com/market-may-trade-in-a-range-but-fiis-seen-sold-on-india/articleshow/6277705.cms,"Market may trade in a range, but FIIs seen sold on India"
44,"Sun, 08 Aug 2010 22:25:00 GMT","Many experts believe that looking at PE ratio in isolation won’t help investors grasp realities of the mkt and higher valuation may not be the only deciding factor driving mkt. 
",http://economictimes.indiatimes.com/dont-bank-only-on-price-to-earning-ratio/articleshow/6278228.cms,'Don't bank only on price-to-earning ratio'
45,"Fri, 05 Dec 2008 18:30:00 GMT",Prabhudas Lilladher has a ‘reduce’ rating on Infosys Technologies as it feels that the outlook for the company and the software industry is quite weak in the near-term.,http://economictimes.indiatimes.com/markets/stocks/recos/prabhudas-lilladher-has-a-reduce-rating-on-infosys/articleshow/3798718.cms,Prabhudas Lilladher has a reduce rating on Infosys
46,"Thu, 04 Dec 2008 20:35:00 GMT",A crisis of $240 trillion cannot be stemmed with bailout packages of $1 to $10 trillion. 2008: Year of global financial crisis | Survive credit crisis | Ghosts of 1929,http://economictimes.indiatimes.com/markets/stocks/recos/fin-crisis-too-late-and-too-little-done-in-us/articleshow/3794549.cms,Fin Crisis: Too late and too little done in US
47,"Wed, 01 Oct 2008 03:10:42 GMT","The falling rupee will severely affect the small companies, whereas the big ones will be impacted moderately. Get rid of Debt | Adopt correct investment strategies",http://economictimes.indiatimes.com/markets/forex/weak-rupee-takes-its-toll-on-cos-with-huge-foreign-debt/articleshow/3546158.cms,Weak rupee takes its toll on cos with huge foreign debt
48,"Sun, 27 Jul 2008 22:40:49 GMT","At the recent low of 12514 points, the Sensex has tested the 12800-12000-pts support zone and has since then attempted a corrective rally.",http://economictimes.indiatimes.com/markets/stocks/recos/wait-for-more-signals-before-turning-positive/articleshow/3292640.cms,Wait for more signals before turning positive
49,"Wed, 02 Jul 2008 13:55:05 GMT","BusinessWeek's 'The Infotech 100', has ranked Bharti Airtel at the 21st position followed by Reddington India (55th) and RCom (66th). Successful business formula",http://economictimes.indiatimes.com/news/company/corporate-trends/six-indian-cos-among-businessweeks-top-100-infotech-firms/articleshow/3189334.cms,Six Indian cos among BusinessWeek's top 100 Infotech firms
50,"Sun, 29 Jun 2008 06:08:01 GMT",14 firms present in a new list of world's 500 most valued firms together seeing an erosion of about $150 billion in their market value in the first three months of this year.,http://economictimes.indiatimes.com/news/company/corporate-trends/indian-firms-slip-in-global-ranking-four-move-out-of-top-500/articleshow/3177077.cms,Indian firms slip in global ranking; four move out of Top-500
51,"Fri, 13 Aug 2010 22:05:24 GMT","Shares of Cipla inched up on heavy volumes on Friday, after the company’s first quarter earnings beat the consensus estimate.",http://economictimes.indiatimes.com/markets/stocks/news/big-daddy-laps-up-cipla-after-q1-nos-beat-forecast/articleshow/6308646.cms,'Big Daddy' laps up Cipla after Q1 nos beat forecast
52,"Fri, 13 Aug 2010 21:56:46 GMT","The Old Fox of Dalal Street has been on a dream run since the past couple of weeks. On Friday, most stocks that he had been steadily building up positions in figured among key gainers of the day.",http://economictimes.indiatimes.com/markets/stocks/news/old-fox-has-dream-run-on-dalal-street/articleshow/6308631.cms,Old Fox has dream run on Dalal Street
53,"Fri, 13 Aug 2010 14:41:07 GMT","The scrip, which was flat for most of the session, shot up in the final hour of trade on the Bombay Stock Exchange to settle with a net gain of 4.36 per cent at Rs 355.45.",http://economictimes.indiatimes.com/markets/stocks/news/cairn-india-hits-record-high-on-bse-amid-stake-sale-talks/articleshow/6306679.cms,Cairn India hits record high on BSE amid stake sale talks
54,"Fri, 13 Aug 2010 13:56:27 GMT","In the late afternoon session, the scrip was being traded at 20.61 pounds, down by 5.50 per cent on the LSE. Vedanta opened on a positive note, but soon swung into the red.",http://economictimes.indiatimes.com/markets/stocks/news/vedanta-plunges-5-59-per-cent-on-lse-amid-talks-to-buy-cairn-stake/articleshow/6306526.cms,Vedanta plunges 5.59% on LSE amid talks to buy Cairn stake
55,"Fri, 13 Aug 2010 13:17:42 GMT","In the past two days, the scrip recorded a gain of over 9 per cent on the BSE, making its investors richer by a whopping Rs 15,000 crore.
",http://economictimes.indiatimes.com/markets/stocks/news/sbi-shares-on-gaining-spree-hit-record-high/articleshow/6306241.cms,SBI shares on gaining spree; hit record high
56,"Fri, 05 Mar 2010 00:02:47 GMT",TT Ram Mohan has rightly suggested that the tax-GDP ratio measures structural improvement. The FM must rethink his medium-term debtto-GDP target. ,http://economictimes.indiatimes.com/fm-must-rethink/articleshow/5645094.cms,FM must rethink
57,"Fri, 05 Mar 2010 00:01:28 GMT",Financial inclusion and financial literacy will be the paramount objective while implementing reforms along with UID project to protect the interests of poor. ,http://economictimes.indiatimes.com/amalgamate-banks/articleshow/5645086.cms,Amalgamate banks
58,"Mon, 12 Oct 2009 21:10:52 GMT","This refers to your edit ‘A welcome quest’ (ET, Oct 8). It is imperative to have a strong database.",http://economictimes.indiatimes.com/managing-data/articleshow/5117958.cms,Managing data
59,"Mon, 12 Oct 2009 21:09:54 GMT","Apropos of ‘The climate conundrum’ (ET, Oct 9), Mukul Sanwal rightly suggests that developing countries should lead in setting the agenda for global technological cooperation.",http://economictimes.indiatimes.com/right-technology/articleshow/5117957.cms,Right technology
60,"Tue, 06 Aug 2013 08:15:00 GMT",Rupee#CAD#Economic crisis#Food Bill,http://economictimes.indiatimes.com/et-search/articleshow/21646857.cms,ET Search
61,"Tue, 28 Feb 2012 19:12:07 GMT","The team behind The Artist will have spent the first day of the rest of their lives conforming to the grandest, and most lucrative, of Hollywood traditions. ",http://economictimes.indiatimes.com/after-the-oscars-whats-next-for-silent-stars-of-the-artist/articleshow/12075465.cms,"After the Oscars, what's next for silent stars of The Artist?"
62,"Sat, 25 Feb 2012 02:08:37 GMT","It's the World Book fair, which comes around once every two years sprawling across the giant halls of Pragati Maidan.  This is the fair's 20th edition.",http://economictimes.indiatimes.com/delhi-world-book-fair-a-fair-like-no-other/articleshow/12028630.cms,Delhi World Book fair: A fair like no other
63,"Fri, 24 Feb 2012 08:09:49 GMT","An elephant figurine gifted by the then HM LK Advani to US Secretary of State Colin Powell in 2002, has made its way to the State Department hall.",http://economictimes.indiatimes.com/lk-advanis-gift-makes-its-way-to-state-department-exhibition-hall/articleshow/12017534.cms,Indian gift makes its way to State Department exhibition
64,"Tue, 21 Feb 2012 20:49:54 GMT","Statistical models used by IMD will still be used for monsoon forecast, but the ministry of earth sciences is putting more emphasis on dynamic models.",http://economictimes.indiatimes.com/india-meteorological-department-to-use-dynamic-models-for-forecasts/articleshow/11983844.cms,IMD to use dynamic models for forecasts
65,"Tue, 21 Feb 2012 09:49:25 GMT","Newly discovered documents have revealed the first telegraph messages and joy when England was linked for the first time with India on 23 June, 1870. ",http://economictimes.indiatimes.com/documents-reveal-contents-of-the-first-telegraph-message-between-india-england/articleshow/11976488.cms,Docs reveal contents of first wire msg between India & Eng
66,"Mon, 20 Feb 2012 10:57:34 GMT",Hundreds of worried fans of ailing Bollywood megastar Amitabh Bachchan today performed a yagna here to pray for his speedy recovery.,http://economictimes.indiatimes.com/worried-amitabh-bachchan-fans-pray-to-lord-shiva-for-his-recovery/articleshow/11963187.cms,Worried Amitabh Bachchan fans pray to Lord Shiva for his recovery
67,"Sun, 01 Jun 2014 22:30:07 GMT","""The fact that we are the world’s largest democracy and we are all aware that power and a role in global affairs for a nation comes from economic strength.""",http://economictimes.indiatimes.com/opinion/interviews/every-decision-of-government-neednt-be-a-big-reform-anand-mahindra/articleshow/35919571.cms,Every decision of government needn’t be a big reform: Anand Mahindra
68,"Tue, 03 Jun 2014 00:04:35 GMT","Ambassador Joao Cravinho, head of the EU delegation, led Ambassadors of various European countries to a quiet lunch with Modi at the capital last year.",http://economictimes.indiatimes.com/opinion/interviews/narendra-modi-has-his-eyes-set-on-boosting-business-joao-cravinho-eu-ambassador/articleshow/35973824.cms,"Narendra Modi has his eyes set on boosting business: Joao Cravinho, EU Ambassador"
69,"Mon, 02 Jun 2014 08:57:23 GMT","""It is the collective wisdom of the marketplace that there is action and we will move with speed. That improves the confidence level of industry.""",http://economictimes.indiatimes.com/opinion/interviews/confidence-level-of-industry-improving-kv-kamath-icici-bank/articleshow/35945669.cms,"Confidence level of industry improving: KV Kamath, ICICI Bank"
70,"Mon, 02 Jun 2014 02:30:11 GMT","Directives from the Centre have to be executed at the state level. So, there are many things that are not in Modi’s hands, says Raamdeo Agrawal.",http://economictimes.indiatimes.com/opinion/interviews/we-may-see-rapid-growth-over-the-next-few-years-raamdeo-agrawal/articleshow/35831378.cms,We may see rapid growth over the next few years: Raamdeo Agrawal
71,"Fri, 30 May 2014 22:30:25 GMT","""Now there is a stage three and stage four of digitisation, we will take a call on this only after taking all things into account.""",http://economictimes.indiatimes.com/opinion/interviews/our-commitment-for-press-freedom-and-autonomy-of-public-broadcast-is-absolute-prakash-javadekar/articleshow/35803396.cms,"Our commitment for press freedom, and autonomy of public broadcast is absolute: Prakash Javadekar"
72,"Thu, 29 May 2014 07:10:06 GMT","""There is a leadership vacuum in the company, because they made the wrong choice of CEO three years ago and that is playing out right now.""",http://economictimes.indiatimes.com/opinion/interviews/there-is-a-leadership-vacuum-in-infosys-time-to-get-nandan-nilekani-back-mohandas-pai/articleshow/35716682.cms,"There is a leadership vacuum in Infosys, time to get Nandan Nilekani back: Mohandas Pai"
73,"Fri, 01 Sep 2017 08:45:53 GMT",Benefits including increased tax compliance will likely play out in the medium term.,http://economictimes.indiatimes.com/markets/stocks/news/gdp-print-demo-data-adverse-but-d-street-still-sees-silver-lining-how/articleshow/60322440.cms,"GDP print, DeMo data adverse; but D-Street still sees silver lining. How?"
74,"Wed, 19 Apr 2017 01:52:52 GMT","TCS, India’s largest technology firm by revenue, on Tuesday reported a 2.5 per cent sequential drop in net profit at Rs 6,608 crore for the quarter ended March 31, 2017.",http://economictimes.indiatimes.com/markets/stocks/news/opening-bell-top-cues-that-changed-your-market-while-you-were-sleeping/articleshow/58251834.cms,Opening Bell: Top cues that changed your market while you were sleeping
75,"Mon, 01 Aug 2016 05:23:52 GMT",Uber will reportedly continue to operate its own app in China for now. Uber declined to comment on this to the publication.,http://economictimes.indiatimes.com/news/international/business/uber-merging-china-operations-with-ola-investor-didi-chuxing-in-a-35-billion-deal/articleshow/53485760.cms,Uber merging China ops with Didi in $35 bn deal
76,"Mon, 01 Aug 2016 05:48:00 GMT",The apex court also directed six former chief ministers of Uttar Pradesh to vacate government houses allotted to them.,http://economictimes.indiatimes.com/news/politics-and-nation/no-government-accommodation-for-former-chief-ministers-supreme-court/articleshow/53486108.cms,No government accommodation for former CMs: SC
77,"Mon, 01 Aug 2016 05:49:49 GMT","The seasonally adjusted Nikkei India Manufacturing Purchasing Managers Index edged higher in July, at 51.8 compared with 51.7 in June.",http://economictimes.indiatimes.com/news/economy/finance/manufacturing-pmi-at-4-month-high-of-51-8-in-july/articleshow/53486134.cms,Manufacturing PMI at 4 month high of 51.8 in July
78,"Sun, 12 Jun 2016 05:20:10 GMT",Slowing rural demand after two rain deficit years might be weighing down Splendor's sales but Honda says there is more to these results than El Nino.,http://economictimes.indiatimes.com/industry/auto/news/two-wheelers/scooters-mopeds/scooters-back-with-new-hero-on-road/articleshow/52711166.cms,"Scooter's back, with new hero on road"
79,"Tue, 10 Jan 2012 12:19:11 GMT","Alfa Laval (India) today said its parent firm has raised the delisting offer price to Rs 2,850 a share.
",http://economictimes.indiatimes.com/markets/stocks/news/alfa-laval-raises-delisting-price-to-rs-2850-a-share/articleshow/11437373.cms,"Alfa raises delisting price to Rs 2,850 a share"
80,"Tue, 29 Nov 2011 22:25:23 GMT",The stocks of DB Realty and Unitech rose after top executives of these companies were granted bail in the 2G scam case. ,http://economictimes.indiatimes.com/markets/stocks/news/db-realty-unitech-stocks-rose-after-top-executives-granted-bail-in-2g-scam/articleshow/10925114.cms,"DB Realty, Unitech stocks rose"
81,"Thu, 20 Oct 2011 15:30:11 GMT",Fitch on Friday said it has withdrawn the ratings on Reliance Capital as the company has decided to stop participating.,http://economictimes.indiatimes.com/markets/stocks/news/fitch-withdraws-reliance-capital-ratings/articleshow/10430814.cms,Fitch withdraws Reliance Capital ratings
82,"Thu, 20 Oct 2011 14:32:51 GMT","The poor financial health of state electricity boards could pose significant business risks for power traders in the country, says Fitch.
",http://economictimes.indiatimes.com/markets/stocks/news/discoms-poor-financial-health-poses-risks-for-power-traders-fitch/articleshow/10430186.cms,'Discoms' poor fin health poses risks for traders'
83,"Mon, 18 Jul 2011 20:05:28 GMT","Shares of cigarette companies have rallied over the past one month, with ITC, Godfrey Philips and VST Industries hitting record highs. ",http://economictimes.indiatimes.com/markets/stocks/news/cigarette-companies-price-hikes-with-higher-volumes-hold-promise/articleshow/9277179.cms,Cigarette cos shares outperform benchmark Sensex
84,"Fri, 17 Jun 2011 18:55:28 GMT","Lovable Lingerie is 3rd-best performing stock among companies listed this year, with it doubling in value, as traders bet it could repeat performance of Page Indus.",http://economictimes.indiatimes.com/markets/stocks/news/lovable-lingeries-dream-run-on-as-traders-lap-it-up/articleshow/8894615.cms,Lovable Lingerie's dream run on as traders lap it up
